id;upperTry1;upperTry2;upperTry3;upperVideo;foreTry1;foreTry2;foreTry3;foreVideo
1;0.04798989;0.01369346;0.2943135;0.4145561;0.1237995;0.1097961;0.419122;0.2322396
2;0.0147492;0.01063217;0.0116171;0.415044;0.05750307;0.03965721;0.02860164;0.4897471
3;0.03932711;0.01365819;0.01211519;0.2129235;0.1357297;0.07386311;0.1060796;0.1281806
4;0.05837457;0.02033469;0.01510049;0.1855609;0.1014273;0.05020215;0.03575499;0.1339946
5;0.125489;0.01400097;0.02178051;0.1519665;0.07504019;0.04549804;0.06891828;0.1583082
6;0.007962462;0.00683921;0.008932354;0.1684466;0.02903038;0.02689973;0.02802802;0.1884878
7;0.01530513;0.0125184;0.01156687;0.2885938;0.08373472;0.1017728;0.08945984;0.2423979
8;0.03113088;0.1079504;0.1588495;0.3688719;0.1051958;0.2808823;0.4303985;0.1899543
9;0.02593568;0.007548402;0.01000186;0.2428424;0.05179988;0.0166205;0.03009179;0.1648602
10;0.00997521;0.009981939;0.009212107;0.181788;0.03603513;0.03853722;0.02360347;0.2704841
11;0.02295983;0.01813148;0.02852702;0.2371114;0.1409004;0.1287743;0.1287462;0.2264853
12;0.08438543;0.01621438;0.01140857;0.204101;0.07792716;0.04084221;0.03302654;0.191117
13;0.01850929;0.01415258;0.01373316;0.1040505;0.06720886;0.05190354;0.03071428;0.1458476
14;0.01527573;0.01112489;0.01368425;0.1693076;0.03886101;0.05686381;0.05165441;0.08814806
15;0.008518566;0.01232748;0.009707189;0.2952532;0.04371404;0.0782502;0.04383982;0.07630397
16;0.05253584;0.0265939;0.01244657;0.2582008;0.07279588;0.0567915;0.0477082;0.3283829
17;0.03322195;0.04519014;0.0284802;0.3770582;0.08148589;0.08378587;0.0727505;0.1562556
18;0.0381737;0.0165544;0.01493434;0.1332384;0.09324987;0.04352902;0.0437072;0.08116475
