id;avg1;video1;avg2;video2;avg3;video3;avg4;video4;avg5;video5;;;;;;;;
1;90.23324;88.54243;236.1616;56.85402;147.3049;41.24654;135.4391;60.71836;127.6474;99.17807;;;;;;;;
2;21.87767;186.3669;13.07799;58.25299;34.85933;201.1864;33.97136;28.84641;53.72429;22.69417;;;;;;;;
3;64.56426;70.62873;39.71612;63.70168;172.2704;38.90111;65.71349;62.6628;35.9631;51.50235;;;;;;;;
4;33.98134;67.68527;64.08743;56.74238;92.59164;73.47396;68.3193;28.71263;126.6489;53.73384;;;;;;;;
5;25.59204;75.53829;26.69665;69.20809;251.5161;60.32555;20.90479;71.938;217.5503;76.76534;;;;;;;;
6;13.69886;106.024;19.96231;110.0506;60.14158;37.21353;20.48134;32.6776;65.04376;47.50258;;;;;;;;
7;55.69758;113.9704;44.49967;45.76485;199.715;84.03634;66.21139;33.04349;63.24311;49.69624;;;;;;;;
8;129.1472;97.34916;69.22794;59.48949;82.59422;75.96982;61.33736;59.46964;239.46;51.63041;;;;;;;;
9;14.91402;76.84425;39.30346;79.92509;72.31524;54.2425;61.10756;23.24555;132.7413;29.86413;;;;;;;;
10;15.16973;154.2152;18.42293;90.07969;46.38799;22.03031;36.28219;34.28113;72.65913;27.21356;;;;;;;;
11;73.92612;126.5345;34.53701;42.0912;75.73971;75.61653;16.83972;39.14519;46.93073;64.23637;;;;;;;;
12;21.01379;94.59012;22.63788;67.83184;46.14412;21.12218;16.54943;21.65139;32.33644;47.80341;;;;;;;;
13;26.68766;71.09675;28.41844;40.93335;33.76165;89.15901;22.57139;14.52489;71.71746;48.75518;;;;;;;;
14;22.95316;42.66353;26.74627;50.97489;32.67271;17.93845;30.00284;22.72699;44.09465;42.00792;;;;;;;;
15;27.80387;36.38506;39.41272;66.95964;55.04764;43.40558;29.90184;24.93781;91.36795;17.32326;;;;;;;;
16;32.01886;176.8983;20.62086;100.6505;38.62543;99.91155;50.84132;85.25715;104.6674;83.2122;;;;;;;;
17;57.22475;79.22639;63.63805;58.22318;138.0349;48.34182;89.30099;46.97516;92.87746;31.32056;;;;;;;;
18;39.50408;39.84587;40.73921;11.85143;91.60555;15.83374;40.55284;52.03368;46.25731;15.51778;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
id;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
avg1;90.23324;21.87767;64.56426;33.98134;25.59204;13.69886;55.69758;129.1472;14.91402;15.16973;73.92612;21.01379;26.68766;22.95316;27.80387;32.01886;57.22475;39.50408
video1;88.54243;186.3669;70.62873;67.68527;75.53829;106.024;113.9704;97.34916;76.84425;154.2152;126.5345;94.59012;71.09675;42.66353;36.38506;176.8983;79.22639;39.84587
avg2;236.1616;13.07799;39.71612;64.08743;26.69665;19.96231;44.49967;69.22794;39.30346;18.42293;34.53701;22.63788;28.41844;26.74627;39.41272;20.62086;63.63805;40.73921
video2;56.85402;58.25299;63.70168;56.74238;69.20809;110.0506;45.76485;59.48949;79.92509;90.07969;42.0912;67.83184;40.93335;50.97489;66.95964;100.6505;58.22318;11.85143
avg3;147.3049;34.85933;172.2704;92.59164;251.5161;60.14158;199.715;82.59422;72.31524;46.38799;75.73971;46.14412;33.76165;32.67271;55.04764;38.62543;138.0349;91.60555
video3;41.24654;201.1864;38.90111;73.47396;60.32555;37.21353;84.03634;75.96982;54.2425;22.03031;75.61653;21.12218;89.15901;17.93845;43.40558;99.91155;48.34182;15.83374
avg4;135.4391;33.97136;65.71349;68.3193;20.90479;20.48134;66.21139;61.33736;61.10756;36.28219;16.83972;16.54943;22.57139;30.00284;29.90184;50.84132;89.30099;40.55284
video4;60.71836;28.84641;62.6628;28.71263;71.938;32.6776;33.04349;59.46964;23.24555;34.28113;39.14519;21.65139;14.52489;22.72699;24.93781;85.25715;46.97516;52.03368
avg5;127.6474;53.72429;35.9631;126.6489;217.5503;65.04376;63.24311;239.46;132.7413;72.65913;46.93073;32.33644;71.71746;44.09465;91.36795;104.6674;92.87746;46.25731
video5;99.17807;22.69417;51.50235;53.73384;76.76534;47.50258;49.69624;51.63041;29.86413;27.21356;64.23637;47.80341;48.75518;42.00792;17.32326;83.2122;31.32056;15.51778
