id;avg1;video1;avg2;video2;avg3;video3;avg4;video4;avg5;video5
1;7.344094;166.1968;23.45302;97.28951;18.6929;91.58791;15.50949;63.4557;14.38279;64.40438;
2;4.115932;265.1775;7.466178;41.16569;9.184412;191.1345;4.397412;17.59627;7.524863;24.07238;
3;4.886438;103.7763;6.095446;41.20498;11.64635;65.19897;4.027603;49.3395;9.782352;71.45309;
4;6.890764;86.4013;7.988678;28.45785;8.769996;80.58796;11.84731;25.6925;19.69766;75.53587;
5;6.458596;71.09291;10.80876;56.8965;13.69327;44.21651;8.657323;68.44926;25.39301;76.98724;
6;2.916899;93.10394;8.867107;104.4917;10.85073;39.75774;9.531551;70.92238;9.605178;55.57098;
7;4.334829;141.8082;10.218;42.11741;8.501442;54.69518;7.59593;51.65562;8.290502;68.86027;
8;7.572882;148.6565;13.51564;93.93906;14.07774;113.7696;6.770884;107.4301;23.29749;59.422;
9;3.666257;109.8051;7.095803;61.55143;9.606894;24.82222;15.13877;24.39248;11.60375;41.74474;
10;2.831561;100.4137;7.864754;103.0833;7.695708;43.56993;5.349792;43.73082;16.43104;28.24169;
11;6.249162;117.4484;10.48197;49.76839;9.016964;40.9371;5.751864;51.69592;7.041094;75.85769;
12;5.616513;95.3746;11.30378;52.93087;10.99185;29.00054;5.398983;21.31815;27.32302;34.62254;
13;6.549186;48.16973;10.16305;29.67092;9.791877;80.81692;4.787971;40.15768;11.94305;48.42891;
14;4.731681;67.93868;7.801804;60.83023;11.02874;40.47402;2.130456;53.40872;12.3365;41.15546;
15;3.287263;95.71387;10.68816;76.54932;19.76968;54.50418;5.191243;69.73633;16.40324;71.65701;
16;8.041478;127.2023;7.061112;75.21217;9.561478;79.851;9.483858;43.49746;15.54063;72.17569;
17;4.197358;175.4689;6.967643;94.45255;12.41939;57.78137;4.76426;93.40679;10.74703;43.65112;
18;6.813196;53.2569;11.29246;18.38555;9.436719;61.12508;5.576268;44.57775;11.36482;25.14096;
